ID_ACCIDENTE,ANYO,MES,DIA_SEMANA,HORA,COD_PROVINCIA,COD_MUNICIPIO,ZONA,ZONA_AGRUPADA,CARRETERA,KM,SENTIDO_1F,TITULARIDAD_VIA,TIPO_VIA,TIPO_ACCIDENTE,TOTAL_MU24H,TOTAL_HG24H,TOTAL_HL24H,TOTAL_VICTIMAS_24H,TOTAL_MU30DF,TOTAL_HG30DF,TOTAL_HL30DF,TOTAL_VICTIMAS_30DF,TOTAL_VEHICULOS,TOT_PEAT_MU24H,TOT_BICI_MU24H,TOT_CICLO_MU24H,TOT_MOTO_MU24H,TOT_TUR_MU24H,TOT_FURG_MU24H,TOT_CAM_MENOS3500_MU24H,TOT_CAM_MAS3500_MU24H,TOT_BUS_MU24H,TOT_OTRO_MU24H,TOT_SINESPECIF_MU24H,TOT_PEAT_MU30DF,TOT_BICI_MU30DF,TOT_CICLO_MU30DF,TOT_MOTO_MU30DF,TOT_TUR_MU30DF,TOT_FURG_MU30DF,TOT_CAM_MENOS3500_MU30DF,TOT_CAM_MAS3500_MU30DF,TOT_BUS_MU30DF,TOT_VMP_MU30DF,TOT_OTRO_MU30DF,TOT_SINESPECIF_MU30DF,NUDO,CONDICION_FIRME,CONDICION_ILUMINACION,CONDICION_METEO,CONDICION_NIEBLA,ACERA,TRAZADO_PLANTA,ZONA_KM,HAY_NIEBLA,TRAMO_HORA,gravedad_accidente,tramo_horario,zona_riesgo
1,2024,1,3,22,1,0,1,1,A-2622,33.0,1,3,6,18.0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1,6,1,0.0,998,1,Baja,0,Noche,Baja,Noche,Bajo Riesgo
2,2024,1,6,23,1,1036,1,1,A-625,369.0,1,3,5,16.0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3,6,4,0.0,998,3,Muy Alta,0,Noche,Baja,Noche,Bajo Riesgo
3,2024,1,7,1,1,0,1,1,AP-1,82.0,1,2,2,12.0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3,6,3,0.0,998,1,Media,0,Madrugada,Baja,Madrugada,Bajo Riesgo
4,2024,1,7,8,1,0,1,1,A-2522,32.0,1,3,6,13.0,0,0,2,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3,1,3,0.0,998,3,Baja,0,Mañana,Baja,Mañana,Bajo Riesgo
5,2024,1,4,17,1,0,1,1,A-3600,19.0,1,3,14,15.0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3,1,2,0.0,998,1,Baja,0,Tarde,Baja,Tarde,Bajo Riesgo
6,2024,1,5,18,1,1059,1,1,A-3602,8.0,1,3,5,15.0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3,6,1,0.0,998,2,Baja,0,Tarde,Baja,Noche,Bajo Riesgo
7,2024,1,6,9,1,0,1,1,A-3608,12.0,1,3,6,15.0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1,1,1,0.0,998,1,Baja,0,Mañana,Baja,Mañana,Bajo Riesgo
8,2024,1,1,6,1,1059,1,1,A-1,345.0,1,3,3,18.0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3,6,2,0.0,998,1,Muy Alta,0,Madrugada,Baja,Mañana,Bajo Riesgo
9,2024,1,5,10,1,0,1,1,A-3138,32.0,1,3,6,19.0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3,1,1,0.0,998,1,Baja,0,Mañana,Baja,Mañana,Bajo Riesgo
10,2024,1,1,7,1,1059,1,1,A-1,345.0,1,3,3,4.0,0,0,1,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3,2,2,0.0,998,1,Muy Alta,0,Mañana,Baja,Mañana,Bajo Riesgo
11,2024,1,6,16,1,1059,1,1,A-1,352.0,1,3,3,4.0,0,0,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,1,0.0,998,2,Muy Alta,0,Tarde,Baja,Tarde,Bajo Riesgo
12,2024,1,6,17,1,1059,1,1,A-1,352.0,2,3,3,4.0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,2,1,0.0,998,2,Muy Alta,0,Tarde,Baja,Tarde,Bajo Riesgo
13,2024,1,5,23,1,1036,1,1,A-625,371.0,1,3,5,12.0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1,6,1,0.0,998,1,Muy Alta,0,Noche,Baja,Noche,Bajo Riesgo
14,2024,1,6,10,1,1059,1,1,A-3102,9.0,2,3,6,10.0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3,1,1,0.0,998,2,Baja,0,Mañana,Baja,Mañana,Bajo Riesgo
15,2024,1,5,19,1,1002,1,1,A-2522,32.0,2,3,6,19.0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1,6,1,0.0,998,3,Baja,0,Noche,Baja,Noche,Bajo Riesgo
16,2024,1,5,15,1,1059,1,1,A-2134,3.0,2,3,6,19.0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1,1,1,0.0,998,1,Baja,0,Tarde,Baja,Tarde,Bajo Riesgo
17,2024,1,5,17,1,0,3,2,No inventariada,0.0,4,5,14,19.0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,1,0.0,998,998,,0,Tarde,Baja,Tarde,Bajo Riesgo
18,2024,1,6,1,1,1059,3,2,No inventariada,0.0,4,4,9,2.0,2,2,1,5,2,2,1,5,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2.0,1,4,1,0.0,998,998,,0,Madrugada,Alta,Madrugada,Bajo Riesgo
19,2024,2,5,11,1,1059,1,1,A-1,352.0,1,3,3,4.0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3,1,2,0.0,998,2,Muy Alta,0,Mañana,Baja,Mañana,Bajo Riesgo
20,2024,10,2,2,1,1059,3,2,No inventariada,0.0,4,4,9,10.0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,9,1,7,0.0,998,998,,0,Madrugada,Baja,Madrugada,Bajo Riesgo
21,2024,8,7,5,1,1059,3,2,No inventariada,0.0,4,4,9,7.0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,9,1,7,0.0,0,998,,0,Madrugada,Baja,Madrugada,Bajo Riesgo
22,2024,1,2,10,1,0,1,1,A-624,55.0,1,3,14,10.0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3,1,1,0.0,998,1,Media,0,Mañana,Baja,Mañana,Bajo Riesgo
23,2024,1,3,11,1,0,1,1,AP-1,111.0,2,2,1,4.0,0,1,0,1,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1,1,1,0.0,998,2,Alta,0,Mañana,Baja,Mañana,Bajo Riesgo
24,2024,2,5,15,1,0,1,1,AP-1,82.0,1,2,2,16.0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3,1,3,0.0,998,2,Media,0,Tarde,Baja,Tarde,Bajo Riesgo
25,2024,2,6,20,1,1059,1,1,N-624,9.0,2,5,5,15.0,0,2,0,2,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,4,1,0.0,998,1,Baja,0,Noche,Baja,Noche,Bajo Riesgo
26,2024,2,5,9,1,0,1,1,A-624,45.0,1,3,6,19.0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1,1,2,0.0,998,1,Baja,0,Mañana,Baja,Mañana,Bajo Riesgo
27,2024,2,6,13,1,0,3,2,No inventariada,0.0,4,5,14,4.0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,1,0.0,998,998,,0,Tarde,Baja,Tarde,Bajo Riesgo
28,2024,1,7,16,1,0,1,1,A-132,12.0,2,3,5,2.0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,1,0.0,998,2,Baja,0,Tarde,Baja,Tarde,Bajo Riesgo
